IRI Week,Calendar week starting on,Calendar week ending on,,Calendar date,IRI Week
1892,"November 30, 2015","December 6, 2015",,,
1893,"December 7, 2015","December 13, 2015",,,
1894,"December 14, 2015","December 20, 2015",,,
1895,"December 21, 2015","December 27, 2015",,,
1896,"December 28, 2015","January 3, 2016",,,
1897,"January 4, 2016","January 10, 2016",,,
1898,"January 11, 2016","January 17, 2016",,,
1899,"January 18, 2016","January 24, 2016",,,
1900,"January 25, 2016","January 31, 2016",,,
1901,"February 1, 2016","February 7, 2016",,,
1902,"February 8, 2016","February 14, 2016",,,
1903,"February 15, 2016","February 21, 2016",,,
1904,"February 22, 2016","February 28, 2016",,,
1905,"February 29, 2016","March 6, 2016",,,
1906,"March 7, 2016","March 13, 2016",,,
1907,"March 14, 2016","March 20, 2016",,,
1908,"March 21, 2016","March 27, 2016",,,
1909,"March 28, 2016","April 3, 2016",,,
1910,"April 4, 2016","April 10, 2016",,,
1911,"April 11, 2016","April 17, 2016",,,
1912,"April 18, 2016","April 24, 2016",,,
1913,"April 25, 2016","May 1, 2016",,,
1914,"May 2, 2016","May 8, 2016",,,
1915,"May 9, 2016","May 15, 2016",,,
1916,"May 16, 2016","May 22, 2016",,,
1917,"May 23, 2016","May 29, 2016",,,
1918,"May 30, 2016","June 5, 2016",,,
1919,"June 6, 2016","June 12, 2016",,,
1920,"June 13, 2016","June 19, 2016",,,
1921,"June 20, 2016","June 26, 2016",,,
1922,"June 27, 2016","July 3, 2016",,,
1923,"July 4, 2016","July 10, 2016",,,
1924,"July 11, 2016","July 17, 2016",,,
1925,"July 18, 2016","July 24, 2016",,,
1926,"July 25, 2016","July 31, 2016",,,
1927,"August 1, 2016","August 7, 2016",,,
1928,"August 8, 2016","August 14, 2016",,,
1929,"August 15, 2016","August 21, 2016",,,
1930,"August 22, 2016","August 28, 2016",,,
1931,"August 29, 2016","September 4, 2016",,,
1932,"September 5, 2016","September 11, 2016",,,
1933,"September 12, 2016","September 18, 2016",,,
1934,"September 19, 2016","September 25, 2016",,,
1935,"September 26, 2016","October 2, 2016",,,
1936,"October 3, 2016","October 9, 2016",,,
1937,"October 10, 2016","October 16, 2016",,,
1938,"October 17, 2016","October 23, 2016",,,
1939,"October 24, 2016","October 30, 2016",,,
1940,"October 31, 2016","November 6, 2016",,,
1941,"November 7, 2016","November 13, 2016",,,
1942,"November 14, 2016","November 20, 2016",,,
1943,"November 21, 2016","November 27, 2016",,,
1944,"November 28, 2016","December 4, 2016",,,
1945,"December 5, 2016","December 11, 2016",,,
1946,"December 12, 2016","December 18, 2016",,,
1947,"December 19, 2016","December 25, 2016",,,
1948,"December 26, 2016","January 1, 2017",,,
1949,"January 2, 2017","January 8, 2017",,,
1950,"January 9, 2017","January 15, 2017",,,
1951,"January 16, 2017","January 22, 2017",,,
1952,"January 23, 2017","January 29, 2017",,,
1953,"January 30, 2017","February 5, 2017",,,
1954,"February 6, 2017","February 12, 2017",,,
1955,"February 13, 2017","February 19, 2017",,,
1956,"February 20, 2017","February 26, 2017",,,
1957,"February 27, 2017","March 5, 2017",,,
1958,"March 6, 2017","March 12, 2017",,,
1959,"March 13, 2017","March 19, 2017",,,
1960,"March 20, 2017","March 26, 2017",,,
1961,"March 27, 2017","April 2, 2017",,,
1962,"April 3, 2017","April 9, 2017",,,
1963,"April 10, 2017","April 16, 2017",,,
1964,"April 17, 2017","April 23, 2017",,,
1965,"April 24, 2017","April 30, 2017",,,
1966,"May 1, 2017","May 7, 2017",,,
1967,"May 8, 2017","May 14, 2017",,,
1968,"May 15, 2017","May 21, 2017",,,
1969,"May 22, 2017","May 28, 2017",,,
1970,"May 29, 2017","June 4, 2017",,,
1971,"June 5, 2017","June 11, 2017",,,
1972,"June 12, 2017","June 18, 2017",,,
1973,"June 19, 2017","June 25, 2017",,,
1974,"June 26, 2017","July 2, 2017",,,
1975,"July 3, 2017","July 9, 2017",,,
1976,"July 10, 2017","July 16, 2017",,,
1977,"July 17, 2017","July 23, 2017",,,
1978,"July 24, 2017","July 30, 2017",,,
1979,"July 31, 2017","August 6, 2017",,,
1980,"August 7, 2017","August 13, 2017",,,
1981,"August 14, 2017","August 20, 2017",,,
1982,"August 21, 2017","August 27, 2017",,,
1983,"August 28, 2017","September 3, 2017",,,
1984,"September 4, 2017","September 10, 2017",,,
1985,"September 11, 2017","September 17, 2017",,,
1986,"September 18, 2017","September 24, 2017",,,
1987,"September 25, 2017","October 1, 2017",,,
1988,"October 2, 2017","October 8, 2017",,,
1989,"October 9, 2017","October 15, 2017",,,
1990,"October 16, 2017","October 22, 2017",,,
1991,"October 23, 2017","October 29, 2017",,,
1992,"October 30, 2017","November 5, 2017",,,
1993,"November 6, 2017","November 12, 2017",,,
1994,"November 13, 2017","November 19, 2017",,,
1995,"November 20, 2017","November 26, 2017",,,
1996,"November 27, 2017","December 3, 2017",,,
1997,"December 4, 2017","December 10, 2017",,,
1998,"December 11, 2017","December 17, 2017",,,
1999,"December 18, 2017","December 24, 2017",,,
2000,"December 25, 2017","December 31, 2017",,,
